Employee #,Date,Log In,Log Out,First Name,Last Name
10026,6/3/2024,8:17 AM,6:31 PM,Percival,Gutierrez
10026,6/4/2024,8:25 AM,4:41 PM,Percival,Gutierrez
10026,6/5/2024,10:11 AM,7:17 PM,Percival,Gutierrez
10026,6/6/2024,8:13 AM,3:42 PM,Percival,Gutierrez
10026,6/7/2024,8:04 AM,5:41 PM,Percival,Gutierrez
10026,6/10/2024,8:42 AM,5:01 PM,Percival,Gutierrez
10026,6/11/2024,10:35 AM,8:15 PM,Percival,Gutierrez
10026,6/12/2024,8:03 AM,5:02 PM,Percival,Gutierrez
10026,6/13/2024,9:35 AM,6:44 PM,Percival,Gutierrez
10026,6/14/2024,8:34 AM,4:56 PM,Percival,Gutierrez
10026,6/17/2024,8:51 AM,6:33 PM,Percival,Gutierrez
10026,6/18/2024,9:31 AM,5:55 PM,Percival,Gutierrez
10026,6/19/2024,9:23 AM,5:05 PM,Percival,Gutierrez
10026,6/20/2024,8:02 AM,6:00 PM,Percival,Gutierrez
10026,6/21/2024,9:14 AM,5:42 PM,Percival,Gutierrez
10026,6/24/2024,10:43 AM,7:40 PM,Percival,Gutierrez
10026,6/25/2024,8:12 AM,6:34 PM,Percival,Gutierrez
10026,6/26/2024,9:49 AM,7:34 PM,Percival,Gutierrez
10026,6/27/2024,10:00 AM,6:54 PM,Percival,Gutierrez
10026,6/28/2024,8:51 AM,5:31 PM,Percival,Gutierrez
10026,7/1/2024,8:51 AM,7:09 PM,Percival,Gutierrez
10026,7/2/2024,8:28 AM,5:44 PM,Percival,Gutierrez
10026,7/3/2024,10:49 AM,9:20 PM,Percival,Gutierrez
10026,7/4/2024,9:25 AM,5:23 PM,Percival,Gutierrez
10026,7/5/2024,9:24 AM,8:16 PM,Percival,Gutierrez
10026,7/8/2024,10:28 AM,8:04 PM,Percival,Gutierrez
10026,7/9/2024,9:47 AM,8:41 PM,Percival,Gutierrez
10026,7/10/2024,8:58 AM,6:12 PM,Percival,Gutierrez
10026,7/11/2024,9:13 AM,5:49 PM,Percival,Gutierrez
10026,7/12/2024,10:25 AM,6:30 PM,Percival,Gutierrez
10026,7/15/2024,9:58 AM,5:03 PM,Percival,Gutierrez
10026,7/16/2024,10:18 AM,5:21 PM,Percival,Gutierrez
10026,7/17/2024,8:20 AM,5:54 PM,Percival,Gutierrez
10026,7/18/2024,8:49 AM,4:34 PM,Percival,Gutierrez
10026,7/19/2024,9:29 AM,5:22 PM,Percival,Gutierrez
10026,7/22/2024,10:18 AM,7:41 PM,Percival,Gutierrez
10026,7/23/2024,10:02 AM,6:46 PM,Percival,Gutierrez
